订单编码,订单日期,客户编码,所在区域,所在省份,所在地市,商品编号,订购数量,订购单价,金额
D31313,2019-05-16,S22796,东区,浙江,台州市,X091,892.0,214.0,190888.0
D21329,2019-05-14,S11460,东区,安徽,宿州市,X005,276.0,185.0,51060.0
D22372,2019-08-26,S11101,北区,山西,忻州市,X078,1450.0,116.0,168200.0
D31078,2019-04-08,S10902,北区,吉林,延边朝鲜族自治州,X025,1834.0,102.0,187068.0
D32470,2019-04-11,S18696,北区,北京市,北京市,X010,887.0,58.0,51446.0
D28336,2019-02-08,S17681,西区,云南,红河哈尼族彝族自治州,X039,1102.0,108.0,119016.0
D29820,2019-08-04,S13780,南区,广东,江门市,X011,1180.0,226.0,266680.0
D31449,2019-05-01,S12455,南区,广西,百色市,X051,1236.0,203.0,250908.0
D22542,2019-09-18,S10865,北区,内蒙古,呼和浩特市,X089,1101.0,104.0,114504.0
D31859,2019-01-17,S17785,西区,云南,曲靖市,X001,235.0,121.0,28435.0
D32315,2019-02-21,S20802,西区,新疆,乌鲁木齐市,X049,2042.0,226.0,461492.0
D28486,2019-09-15,S12592,东区,浙江,杭州市,X016,2052.0,99.0,203148.0
D21856,2019-07-12,S17476,东区,湖北,武汉市,X019,779.0,210.0,163590.0
D28140,2019-04-03,S14649,南区,广东,广州市,X057,583.0,245.0,142835.0
D28343,2019-07-03,S19238,东区,浙江,杭州市,X022,753.0,158.0,118974.0
D22880,2019-08-04,S16940,东区,湖北,武汉市,X046,1159.0,241.0,279319.0
D26674,2019-05-01,S15128,东区,江苏,南通市,X091,1133.0,214.0,242462.0
D23894,2019-06-14,S15638,西区,甘肃,陇南市,X038,1423.0,102.0,145146.0
D31352,2019-04-15,S22269,西区,四川,泸州市,X047,1100.0,192.0,211200.0
D21920,2019-08-04,S16237,西区,云南,大理白族自治州,X069,1530.0,251.0,384030.0
D28666,2019-08-26,S10550,东区,江苏,常州市,X017,1020.0,213.0,217260.0
D24043,2019-01-04,S12026,北区,河南,郑州市,X079,876.0,128.0,112128.0
D25615,2019-04-17,S17375,西区,云南,昆明市,X069,964.0,251.0,241964.0
D27760,2019-07-20,S10902,北区,吉林,延边朝鲜族自治州,X067,808.0,212.0,171296.0
D27745,2019-06-11,S14880,西区,新疆,巴音郭楞州,X065,1445.0,140.0,202300.0
D31850,2019-09-10,S15439,南区,福建,三明市,X061,453.0,203.0,91959.0
D24042,2019-02-18,S20547,北区,山西,运城市,X054,662.0,83.0,54946.0
D33624,2019-08-04,S18858,西区,陕西,渭南市,X070,937.0,242.0,226754.0
